Name,Identifier,Weight,Sector,Shares Held
Public Storage,PSA,0.131619,Real Estate,1660948
Edwards Lifesciences Corporation,EW,0.131592,Health Care,2336889
Johnson Controls International plc,JCI,0.129351,Industrials,10258210
Dollar General Corporation,DG,0.129179,Consumer Discretionary,2961546
Analog Devices Inc.,ADI,0.127719,Information Technology,4111447
LyondellBasell Industries NV,LYB,0.124763,Materials,3560654
Autodesk Inc.,ADSK,0.124071,Information Technology,2429403
Estee Lauder Companies Inc. Class A,EL,0.123179,Consumer Staples,2480634
Public Service Enterprise Group Inc,PEG,0.122893,Utilities,5601604
SunTrust Banks Inc.,STI,0.122639,Financials,5171479
Yum! Brands Inc.,YUM,0.122443,Consumer Discretionary,3586097
Concho Resources Inc.,CXO,0.119637,Energy,2233826
Roper Technologies Inc.,ROP,0.119213,Industrials,1143742
Archer-Daniels-Midland Company,ADM,0.117847,Consumer Staples,6263093
Centene Corporation,CNC,0.117431,Health Care,2274198
O'Reilly Automotive Inc.,ORLY,0.115813,Consumer Discretionary,908412
ONEOK Inc.,OKE,0.11566,Energy,4557104
TE Connectivity Ltd.,TEL,0.115488,Information Technology,3877577
General Mills Inc.,GIS,0.114771,Consumer Staples,6570113
eBay Inc.,EBAY,0.114319,Consumer Discretionary,10371385
Amphenol Corporation Class A,APH,0.114049,Information Technology,3374009
Pioneer Natural Resources Company,PXD,0.114,Energy,1889260
Regeneron Pharmaceuticals Inc.,REGN,0.113495,Health Care,857492
Alexion Pharmaceuticals Inc.,ALXN,0.11336,Health Care,2463133
V.F. Corporation,VFC,0.113215,Consumer Discretionary,3630770
State Street Corporation,STT,0.11311,Financials,4231375
Moody's Corporation,MCO,0.112733,Financials,1850680
Southwest Airlines Co.,LUV,0.112684,Industrials,5747552
Corning Inc,GLW,0.111548,Information Technology,9029188
PPG Industries Inc.,PPG,0.109889,Materials,2697370
Discover Financial Services,DFS,0.109862,Financials,3819670
Xcel Energy Inc.,XEL,0.109532,Utilities,5641011
Zimmer Biomet Holdings Inc.,ZBH,0.107572,Health Care,2241874
McKesson Corporation,MCK,0.107384,Health Care,2240890
Welltower Inc.,WELL,0.107363,Real Estate,4123642
PG&E Corporation,PCG,0.106545,Utilities,5725784
AvalonBay Communities Inc.,AVB,0.106445,Real Estate,1525080
Equity Residential,EQR,0.105932,Real Estate,4082223
Digital Realty Trust Inc.,DLR,0.104747,Real Estate,2283004
Consolidated Edison Inc.,ED,0.103935,Utilities,3444691
Ingersoll-Rand Plc,IR,0.102605,Industrials,2734510
Fortive Corp.,FTV,0.10195,Industrials,3400167
T. Rowe Price Group,TROW,0.101383,Financials,2701968
Twitter Inc.,TWTR,0.10035,Communication Services,8033325
M&T Bank Corporation,MTB,0.100207,Financials,1610867
Kroger Co.,KR,0.099149,Consumer Staples,9014400
Carnival Corporation,CCL.U,0.098758,Consumer Discretionary,4501501
Edison International,EIX,0.098575,Utilities,3612743
Lam Research Corporation,LRCX,0.09835,Information Technology,1756240
Hewlett Packard Enterprise Co.,HPE,0.097611,Information Technology,16401898
WEC Energy Group Inc,WEC,0.097009,Utilities,3498444
Twenty-First Century Fox Inc. Class B,FOX,0.09563,Consumer Discretionary,5435233
Weyerhaeuser Company,WY,0.095434,Real Estate,8391957
DXC Technology Co.,DXC,0.094208,Information Technology,3158075
Red Hat Inc.,RHT,0.093481,Information Technology,1974557
PPL Corporation,PPL,0.092944,Utilities,7749982
